customerID,gender,SeniorCitizen,Partner,Dependents,MonthlyCharges,TotalCharges,Contract,PaperlessBilling,Churn
7590-1030-00035,Female,0,Yes,No,21.88,5979.62,Two year,Yes,No
7590-1033-00036,Female,0,No,No,95.73,748.31,Two year,Yes,No
7590-9525-00037,Female,0,Yes,No,119.66,6470.97,Month-to-month,Yes,Yes
7590-3862-00038,Male,0,Yes,No,48.04,1333.43,One year,No,No
7590-3420-00039,Female,0,No,No,89.08,3236.23,Two year,No,No
7590-9555-00040,Male,0,No,Yes,98.44,5305.45,One year,Yes,No
7590-2169-00041,Male,0,No,Yes,117.42,3550.87,Month-to-month,Yes,Yes
7590-5090-00042,Female,0,No,No,23.42,3741.01,One year,No,No
7590-9345-00043,Female,0,Yes,No,98.84,7642.21,Two year,No,No
7590-7594-00044,Female,0,Yes,No,26.81,2110.22,Month-to-month,No,No
7590-4867-00045,Male,1,Yes,No,58.88,4928.28,One year,Yes,No
7590-9862-00046,Male,0,Yes,Yes,73.82,7748.94,Month-to-month,No,No
7590-6443-00047,Male,0,No,No,85.62,7748.66,Two year,No,No
7590-6305-00048,Male,0,No,Yes,87.91,5524.95,Month-to-month,Yes,No
7590-2113-00049,Female,0,Yes,No,31.96,603.22,One year,No,No
7590-7064-00050,Male,0,Yes,No,117.06,441.21,Month-to-month,Yes,Yes
7590-4271-00051,Female,0,No,No,32.22,6974.14,Two year,Yes,No
7590-5057-00052,Male,0,Yes,No,58.28,6090.59,Two year,Yes,No
7590-9704-00053,Female,1,Yes,No,69.83,1901.89,Two year,Yes,No
7590-9280-00054,Female,0,No,Yes,78.14,3276.29,Month-to-month,Yes,No
7590-9125-00055,Female,1,No,No,69.61,6033.91,Month-to-month,Yes,Yes
7590-9095-00056,Male,0,Yes,No,107.68,3978.82,Two year,Yes,No
7590-8593-00057,Male,0,Yes,No,113.61,2325.08,One year,No,No
7590-2581-00058,Female,0,Yes,Yes,64.47,1716.46,Month-to-month,Yes,No
7590-1642-00059,Male,0,No,No,92.58,2759.15,Month-to-month,No,Yes
7590-6040-00060,Male,1,Yes,No,94.83,1739.3,One year,Yes,No
7590-8777-00061,Male,0,No,No,65.61,918.31,Month-to-month,Yes,Yes
7590-5083-00062,Female,1,No,No,71.98,6410.74,Two year,Yes,No
7590-7583-00063,Female,0,Yes,No,72.45,4303.32,Two year,Yes,No
7590-8955-00064,Male,0,No,No,92.8,1249.46,Two year,No,No
7590-9284-00065,Male,0,No,Yes,26.6,1897.84,One year,No,No
7590-5318-00066,Female,0,Yes,Yes,33.58,5355.76,Month-to-month,Yes,Yes
7590-3311-00067,Female,1,No,No,91.34,4482.31,Two year,No,No
7590-8201-00068,Male,0,No,No,94.08,6346.34,Two year,Yes,No
7590-7189-00069,Male,0,Yes,Yes,108.76,7410.31,Month-to-month,No,Yes
7590-2689-00070,Male,0,No,No,105.05,2984.7,One year,No,No
7590-8123-00071,Female,0,Yes,No,96.64,1819.34,Month-to-month,No,No
7590-9432-00072,Female,0,No,No,35.36,1460.04,Month-to-month,Yes,Yes
7590-1878-00073,Female,0,Yes,No,109.46,6665.02,Two year,Yes,No
7590-9302-00074,Male,0,No,No,20.8,7075.79,Month-to-month,Yes,No
7590-9901-00075,Male,1,No,No,36.46,3459.13,One year,Yes,No
7590-8256-00076,Male,0,Yes,Yes,51.09,4111.97,Month-to-month,No,Yes
7590-3780-00077,Female,1,Yes,No,23.94,6568.55,Two year,No,No
7590-3133-00078,Female,0,Yes,No,41.97,5257.93,Two year,Yes,No
7590-9135-00079,Female,0,Yes,Yes,85.76,541.36,Month-to-month,Yes,Yes
7590-5772-00080,Male,0,No,No,83.67,5077.07,One year,Yes,No
7590-4666-00081,Female,0,No,Yes,33.93,5419.57,Month-to-month,No,No
7590-4487-00082,Male,0,No,No,71.69,3763.13,Month-to-month,No,No
7590-7472-00083,Male,0,Yes,No,30.71,680.34,One year,Yes,No
7590-1849-00084,Female,1,No,No,112.65,1099.59,Month-to-month,No,Yes
7590-1958-00085,Female,0,Yes,No,30.13,687.0,One year,Yes,No
7590-2853-00086,Female,1,No,No,75.98,1271.77,Month-to-month,Yes,Yes
7590-4914-00087,Male,0,No,No,46.17,2427.35,Two year,No,No
7590-6636-00088,Male,0,No,No,59.25,2350.11,One year,No,No
7590-9665-00089,Female,0,No,No,119.71,6336.61,Month-to-month,Yes,No
7590-5655-00090,Male,1,Yes,Yes,64.34,6280.94,Month-to-month,Yes,Yes
7590-5835-00091,Female,0,No,Yes,42.6,7033.22,Month-to-month,Yes,No
7590-8361-00092,Male,0,Yes,No,85.61,4077.52,Month-to-month,No,Yes
7590-8394-00093,Male,0,Yes,No,87.05,2754.95,One year,Yes,No
7590-3119-00094,Female,0,Yes,No,28.06,222.21,One year,No,No
7590-2874-00095,Female,0,No,No,48.22,5697.42,Month-to-month,Yes,Yes
7590-2536-00096,Male,0,No,No,105.91,2430.49,Two year,Yes,No
7590-3271-00097,Female,0,Yes,Yes,117.76,4464.56,Month-to-month,Yes,No
7590-7638-00098,Female,0,No,Yes,98.49,1869.21,Month-to-month,No,No
7590-9634-00099,Female,1,No,No,90.08,7108.09,One year,Yes,No
7590-7117-00100,Male,0,No,No,87.07,7848.9,One year,No,No
7590-5509-00101,Female,0,Yes,No,31.88,5261.73,One year,Yes,No
7590-4887-00102,Male,0,No,No,79.88,4645.9,Two year,Yes,No
7590-3377-00103,Male,1,Yes,Yes,63.57,6707.49,Month-to-month,Yes,No
7590-2693-00104,Male,0,Yes,Yes,80.43,5894.61,Month-to-month,Yes,Yes
7590-7935-00105,Female,0,Yes,No,47.07,5810.32,Month-to-month,No,No
7590-3883-00106,Female,0,No,Yes,85.15,2200.98,One year,Yes,No
7590-7203-00107,Female,0,No,No,25.89,937.71,Month-to-month,Yes,No
7590-2554-00108,Female,0,No,No,46.92,1847.26,Two year,Yes,No
7590-8134-00109,Male,0,Yes,No,60.61,7847.87,Month-to-month,Yes,No
7590-3428-00110,Female,0,Yes,Yes,25.58,6442.72,One year,Yes,No
7590-3737-00111,Female,0,No,Yes,64.12,4254.6,Two year,Yes,No
7590-3617-00112,Female,0,Yes,Yes,117.64,1141.16,Month-to-month,Yes,Yes
7590-9680-00113,Female,0,Yes,No,73.7,6501.57,Month-to-month,Yes,No
7590-4739-00114,Male,1,Yes,Yes,42.61,3675.03,One year,Yes,No
7590-9819-00115,Female,0,No,No,108.72,1882.36,Month-to-month,Yes,Yes
7590-8485-00116,Female,0,Yes,Yes,70.5,361.21,Two year,No,No
7590-7543-00117,Female,1,Yes,No,20.59,1033.04,Month-to-month,No,Yes
7590-3004-00118,Female,0,No,Yes,69.67,6532.96,Two year,Yes,No
7590-8694-00119,Male,0,No,No,90.3,1656.69,Two year,Yes,No
7590-8541-00120,Female,0,No,Yes,106.87,4155.43,Two year,No,No
7590-1033-00121,Male,0,No,Yes,89.61,1018.75,Two year,Yes,No
7590-4870-00122,Female,0,Yes,No,103.61,6683.98,Month-to-month,No,No
7590-8326-00123,Female,0,Yes,No,41.0,1235.3,Month-to-month,No,No
7590-4015-00124,Male,0,No,No,74.84,6234.68,Month-to-month,Yes,No
7590-5359-00125,Male,1,No,No,41.9,7735.15,Month-to-month,No,Yes
7590-8179-00126,Male,0,No,No,89.92,6621.22,Two year,No,No
7590-5003-00127,Female,0,No,No,71.99,5714.86,Two year,No,No
7590-8836-00128,Male,0,No,No,112.12,5902.76,One year,Yes,No
7590-3205-00129,Male,0,No,Yes,20.79,5606.28,Month-to-month,No,No
7590-3327-00130,Male,0,No,Yes,34.23,6722.03,One year,No,No
7590-8007-00131,Female,0,No,No,105.97,4287.22,Two year,No,No
7590-4020-00132,Male,0,Yes,No,106.21,1034.76,Month-to-month,No,Yes
7590-4999-00133,Male,0,No,Yes,51.24,3206.36,One year,No,No
7590-2491-00134,Male,1,No,No,97.6,6521.62,Month-to-month,No,Yes
7590-5890-00135,Female,1,Yes,Yes,115.5,7007.75,Month-to-month,Yes,Yes
7590-4101-00136,Male,0,No,No,66.96,2861.03,Month-to-month,Yes,Yes
7590-1103-00137,Female,0,No,No,110.58,4730.01,Month-to-month,Yes,No
7590-9146-00138,Female,0,Yes,Yes,76.45,5980.21,Month-to-month,No,No
7590-4629-00139,Female,0,No,Yes,116.87,3763.54,Month-to-month,Yes,No
7590-6597-00140,Female,0,No,Yes,99.92,6537.57,Month-to-month,Yes,No
7590-3383-00141,Male,0,Yes,No,26.44,3505.53,Month-to-month,No,No
7590-1448-00142,Female,0,No,No,94.55,453.27,Month-to-month,No,Yes
7590-5977-00143,Male,0,No,No,73.45,5361.6,Two year,No,No
7590-6206-00144,Male,0,No,No,51.5,3116.08,One year,Yes,No
7590-2814-00145,Female,0,No,No,28.5,4684.22,Month-to-month,No,Yes
7590-7316-00146,Female,1,No,No,48.77,6261.4,Two year,Yes,No
7590-5093-00147,Female,0,No,No,42.67,1868.97,One year,Yes,No
7590-4887-00148,Male,0,Yes,No,58.35,4448.57,One year,No,No
7590-7108-00149,Male,1,Yes,No,25.14,5642.43,Two year,No,No
7590-6694-00150,Female,0,Yes,No,40.56,5988.9,One year,Yes,No
7590-9043-00151,Male,0,No,No,109.84,4489.89,Two year,No,No
7590-3481-00152,Female,1,Yes,No,116.3,2437.4,One year,Yes,Yes
7590-9052-00153,Female,0,No,No,97.04,1622.16,Month-to-month,Yes,Yes
7590-1459-00154,Female,0,Yes,Yes,85.68,6537.89,Two year,No,No
7590-8890-00155,Female,0,Yes,No,81.78,5920.61,Month-to-month,No,No
7590-3263-00156,Female,0,No,Yes,98.84,5221.51,Month-to-month,No,No
7590-7180-00157,Male,0,No,No,104.68,3644.97,Month-to-month,Yes,Yes
7590-6259-00158,Female,0,Yes,Yes,119.74,297.16,One year,No,No
7590-4417-00159,Male,0,No,No,42.9,3293.94,Two year,Yes,No
7590-5290-00160,Male,0,No,Yes,25.35,3392.18,One year,Yes,No
7590-9254-00161,Female,1,No,No,50.05,7615.95,One year,Yes,No
7590-4142-00162,Female,0,No,No,82.06,414.65,Two year,Yes,No
7590-2004-00163,Male,1,No,Yes,116.6,7889.62,Two year,No,No
7590-2491-00164,Male,0,No,No,75.41,7323.77,Month-to-month,No,No
7590-4269-00165,Male,0,Yes,No,71.5,280.9,One year,No,No
7590-5411-00166,Male,1,Yes,No,32.48,4159.81,Month-to-month,Yes,No
7590-6026-00167,Male,0,Yes,No,41.81,7182.21,Two year,No,No
7590-7426-00168,Male,1,Yes,No,41.45,6609.09,Two year,No,No
7590-6008-00169,Male,0,Yes,No,117.53,744.45,Month-to-month,Yes,Yes
7590-6087-00170,Female,0,No,No,50.61,1647.77,Two year,No,No
7590-4501-00171,Male,0,Yes,Yes,109.23,5944.02,Month-to-month,No,No
7590-6172-00172,Female,0,Yes,Yes,74.71,4365.35,One year,Yes,No
7590-9577-00173,Male,0,No,No,89.41,3580.23,One year,No,No
7590-8993-00174,Female,1,No,Yes,32.98,527.01,Month-to-month,Yes,Yes
7590-5136-00175,Female,0,No,No,100.46,590.1,Month-to-month,No,Yes
7590-2637-00176,Female,0,No,Yes,117.02,856.48,Month-to-month,No,No
7590-5230-00177,Male,0,No,No,117.4,962.99,Month-to-month,No,Yes
7590-4965-00178,Male,0,No,No,83.07,3958.06,Two year,No,No
7590-9678-00179,Female,0,Yes,No,116.55,2465.57,One year,No,No
7590-9358-00180,Female,0,No,Yes,80.04,3134.02,Month-to-month,Yes,No
7590-5404-00181,Male,0,No,Yes,79.42,1916.78,Month-to-month,No,Yes
7590-8109-00182,Male,0,Yes,Yes,87.26,3346.52,Two year,Yes,No
7590-7063-00183,Female,0,No,Yes,36.93,1647.15,Month-to-month,Yes,No
7590-6138-00184,Female,0,Yes,No,22.05,6272.36,One year,Yes,No
7590-8406-00185,Female,0,Yes,No,33.77,6166.25,Month-to-month,No,No
7590-4012-00186,Male,0,No,No,52.07,2134.34,One year,Yes,No
7590-6037-00187,Female,0,No,Yes,89.9,4009.28,Month-to-month,No,Yes
7590-5038-00188,Male,0,No,No,47.41,2204.78,Month-to-month,Yes,No
7590-2214-00189,Female,0,Yes,No,21.74,3373.05,Month-to-month,Yes,No
7590-4319-00190,Male,1,No,Yes,45.61,7198.39,Two year,No,No
7590-2876-00191,Male,0,Yes,No,73.5,7325.19,Month-to-month,Yes,No
7590-7005-00192,Male,0,Yes,No,28.07,2810.37,Month-to-month,No,No
7590-6744-00193,Female,1,No,No,37.05,3944.24,One year,No,No
7590-8362-00194,Female,0,No,No,57.26,1459.48,Month-to-month,No,No
7590-1339-00195,Male,0,Yes,Yes,80.18,33.22,Month-to-month,No,Yes
7590-5185-00196,Female,0,Yes,No,21.1,1358.54,Month-to-month,Yes,Yes
7590-2675-00197,Female,1,No,No,113.22,1211.12,One year,Yes,No
7590-4609-00198,Female,0,No,No,96.21,7783.85,Month-to-month,Yes,No
7590-2438-00199,Female,0,Yes,Yes,27.86,3766.89,Month-to-month,Yes,Yes
7590-5880-00200,Female,0,Yes,No,36.07,7524.38,Month-to-month,No,No
7590-2688-00201,Male,0,Yes,No,60.44,1278.55,Two year,No,No
7590-8119-00202,Male,0,Yes,No,89.8,6484.98,Two year,No,No
7590-9868-00203,Male,1,No,No,29.48,1077.81,One year,No,No
7590-4661-00204,Male,1,No,No,18.34,3562.45,Month-to-month,Yes,Yes
7590-7774-00205,Male,0,Yes,No,65.01,7819.1,One year,Yes,No
7590-3993-00206,Female,0,Yes,No,112.12,68.67,Two year,No,No
7590-6051-00207,Male,0,Yes,No,80.82,3612.36,Two year,No,No
7590-4121-00208,Male,0,Yes,Yes,38.37,236.36,Month-to-month,No,No
7590-5040-00209,Male,0,No,No,40.92,7092.29,Month-to-month,Yes,No
7590-2098-00210,Male,0,Yes,No,93.34,7179.2,Month-to-month,No,Yes
7590-7448-00211,Male,1,No,Yes,106.96,3763.33,Month-to-month,Yes,Yes
7590-9032-00212,Female,0,No,No,70.02,4988.66,Month-to-month,No,Yes
7590-3868-00213,Female,0,No,No,24.2,2877.28,Month-to-month,Yes,No
7590-4192-00214,Male,0,No,No,84.48,6457.92,One year,Yes,No
7590-1811-00215,Male,0,No,No,108.74,7474.22,Two year,No,No
7590-2363-00216,Female,0,No,Yes,78.56,4477.62,Month-to-month,No,Yes
7590-8590-00217,Male,0,No,Yes,116.61,6224.33,Month-to-month,No,Yes
7590-3905-00218,Male,0,No,No,116.58,346.38,Month-to-month,Yes,Yes
7590-7699-00219,Male,1,No,Yes,26.59,1194.05,Month-to-month,Yes,Yes
7590-1515-00220,Male,0,Yes,No,90.57,162.52,Two year,No,No
7590-9569-00221,Male,1,No,No,78.75,3822.83,Month-to-month,No,Yes
7590-7867-00222,Male,0,No,No,90.76,6018.57,Two year,No,No
7590-7321-00223,Male,0,No,No,100.08,4958.16,Month-to-month,No,Yes
7590-1312-00224,Male,0,Yes,No,46.2,4515.09,One year,Yes,No
7590-9055-00225,Male,0,No,No,87.8,3367.44,Month-to-month,No,No
7590-3697-00226,Male,0,No,No,64.15,6725.18,Month-to-month,No,Yes
7590-3066-00227,Female,0,Yes,No,38.87,6358.58,One year,Yes,No
7590-2985-00228,Female,0,Yes,No,30.09,4026.44,Two year,No,No
7590-6796-00229,Female,1,No,Yes,22.28,4189.69,One year,Yes,No
7590-1652-00230,Female,0,No,No,48.06,6560.89,Month-to-month,Yes,No
7590-8458-00231,Female,1,No,No,59.0,5380.86,Month-to-month,Yes,Yes
7590-8860-00232,Male,0,No,Yes,48.22,4140.55,Month-to-month,Yes,No
7590-6629-00233,Male,0,No,No,108.25,5057.1,One year,Yes,No
7590-9131-00234,Female,1,No,Yes,55.91,1218.88,One year,Yes,No
7590-1014-00235,Female,1,No,No,66.68,3549.68,Month-to-month,No,No
7590-5052-00236,Female,1,Yes,No,115.81,7131.47,Two year,Yes,No
7590-6269-00237,Male,0,No,No,72.66,6433.0,One year,No,No
7590-6621-00238,Male,0,Yes,No,111.17,85.63,One year,Yes,No
7590-3983-00239,Male,0,Yes,Yes,30.18,2669.69,Two year,Yes,No
7590-7366-00240,Male,1,No,No,81.96,3590.15,Month-to-month,No,No
7590-5517-00241,Female,0,Yes,No,99.25,4649.16,Month-to-month,No,No
7590-9134-00242,Male,1,No,No,59.31,4587.24,Month-to-month,No,No
7590-6949-00243,Male,0,Yes,Yes,58.63,2236.59,Month-to-month,Yes,Yes
7590-8320-00244,Male,0,Yes,Yes,119.92,7382.43,One year,No,No
7590-4101-00245,Male,0,Yes,No,63.65,5077.54,Two year,No,No
7590-9027-00246,Male,0,No,No,60.47,7670.49,One year,Yes,No
7590-3761-00247,Male,0,No,No,82.41,6932.04,One year,No,No
7590-9699-00248,Female,0,Yes,No,38.12,5434.01,Two year,No,No
7590-6065-00249,Female,0,No,No,20.36,955.81,Two year,No,No
7590-1844-00250,Female,0,Yes,No,104.6,6865.42,Month-to-month,Yes,No
7590-5517-00251,Male,0,Yes,No,62.08,6853.65,Month-to-month,Yes,Yes
7590-5290-00252,Male,0,No,Yes,99.12,6820.88,Month-to-month,Yes,Yes
7590-8124-00253,Male,1,Yes,No,100.2,1828.91,Month-to-month,Yes,No
7590-2738-00254,Male,0,No,Yes,22.04,3775.47,One year,No,No
7590-4741-00255,Female,0,Yes,Yes,42.65,4665.89,One year,Yes,No
7590-9857-00256,Male,0,Yes,No,27.19,1306.95,Month-to-month,Yes,No
7590-6815-00257,Female,0,Yes,Yes,25.4,4406.53,Month-to-month,Yes,No
7590-2358-00258,Male,0,No,No,112.98,4233.11,Two year,Yes,No
7590-1583-00259,Male,1,Yes,No,77.46,7464.23,Month-to-month,Yes,Yes
7590-7890-00260,Male,0,No,No,33.99,2099.44,One year,No,No
7590-1035-00261,Female,0,Yes,No,77.91,6972.37,Two year,Yes,No
7590-6235-00262,Female,0,Yes,No,59.09,7628.3,One year,No,No
7590-5971-00263,Female,1,Yes,No,60.82,806.85,Month-to-month,Yes,Yes
7590-1790-00264,Male,0,Yes,Yes,32.79,7802.3,Two year,Yes,No
7590-7332-00265,Female,0,No,No,75.06,7299.77,Month-to-month,No,Yes
7590-5770-00266,Male,0,No,Yes,59.81,551.55,Month-to-month,No,Yes
7590-8629-00267,Female,0,No,Yes,59.24,3788.46,Month-to-month,No,No
7590-8494-00268,Female,0,Yes,No,57.45,4237.76,Month-to-month,Yes,Yes
7590-1510-00269,Male,0,Yes,Yes,54.83,1779.56,Month-to-month,No,No
7590-5532-00270,Male,1,Yes,No,59.9,4804.58,Month-to-month,No,Yes
7590-2299-00271,Female,0,No,Yes,96.12,7924.62,Month-to-month,No,No
7590-6163-00272,Male,0,No,Yes,73.01,1902.39,One year,Yes,No
7590-4696-00273,Female,0,Yes,No,57.65,7912.44,Month-to-month,Yes,No
7590-1623-00274,Female,1,No,Yes,56.4,6414.71,Month-to-month,Yes,Yes
7590-7003-00275,Male,0,No,No,58.4,7486.99,Month-to-month,No,No
7590-8120-00276,Female,0,Yes,Yes,74.97,5466.62,Month-to-month,Yes,No
7590-7532-00277,Female,0,Yes,Yes,93.98,463.85,Month-to-month,Yes,Yes
7590-7467-00278,Male,0,Yes,Yes,108.04,1161.85,Month-to-month,No,Yes
7590-9907-00279,Female,0,Yes,No,118.76,6763.88,Month-to-month,Yes,No
7590-1555-00280,Male,0,Yes,Yes,110.13,6026.26,Two year,No,No
7590-3347-00281,Male,0,No,No,101.8,7664.94,Month-to-month,No,No
7590-5928-00282,Female,0,No,No,21.45,4012.61,Two year,Yes,No
7590-4619-00283,Female,1,No,No,57.39,123.13,Two year,No,No
7590-1134-00284,Female,0,No,No,87.44,3891.85,One year,No,No
7590-1105-00285,Female,0,Yes,No,105.74,2003.83,Month-to-month,No,Yes
7590-9849-00286,Female,1,No,No,61.91,5503.18,Month-to-month,Yes,Yes
7590-5355-00287,Female,0,No,No,111.36,196.77,Month-to-month,No,Yes
7590-6888-00288,Female,0,Yes,No,86.92,7511.28,Two year,Yes,No
7590-2305-00289,Male,0,No,No,64.98,7707.31,One year,No,No
7590-4529-00290,Female,0,No,No,21.83,1643.92,Month-to-month,No,No
7590-3215-00291,Male,0,No,No,82.47,1389.77,Two year,Yes,No
7590-7957-00292,Female,0,No,Yes,59.72,6038.39,Month-to-month,No,No
7590-5431-00293,Female,0,No,Yes,106.56,3986.73,Month-to-month,No,No
7590-1612-00294,Male,0,Yes,Yes,92.24,5743.39,Two year,Yes,No
7590-4996-00295,Female,0,Yes,No,75.48,7292.34,Month-to-month,No,No
7590-6405-00296,Female,0,No,No,93.48,5374.61,One year,Yes,No
7590-9547-00297,Female,0,Yes,No,20.35,4016.58,Two year,Yes,No
7590-9571-00298,Female,0,No,Yes,31.59,4949.38,Month-to-month,Yes,No
7590-7194-00299,Male,0,No,No,94.47,7823.52,Month-to-month,Yes,Yes
7590-7413-00300,Male,0,Yes,Yes,70.1,6421.36,Two year,Yes,No
7590-1211-00301,Female,0,No,No,22.68,5315.88,Month-to-month,No,No
7590-7980-00302,Male,0,Yes,Yes,56.68,5192.3,Month-to-month,No,No
7590-6791-00303,Male,0,Yes,No,117.23,5444.67,One year,No,No
7590-6645-00304,Female,1,No,No,47.25,4491.61,Two year,No,No
7590-2704-00305,Female,0,Yes,No,106.19,729.73,One year,No,No
7590-6339-00306,Female,0,Yes,Yes,97.77,6630.22,One year,No,No
7590-5831-00307,Female,0,Yes,No,119.1,5975.37,Month-to-month,Yes,Yes
7590-2714-00308,Female,0,Yes,No,93.26,3687.74,Month-to-month,No,Yes
7590-4265-00309,Female,0,Yes,No,108.25,3844.12,Two year,Yes,No
7590-1536-00310,Female,0,Yes,Yes,81.71,2839.3,Two year,No,No
7590-6893-00311,Female,1,No,No,29.62,2368.98,Month-to-month,Yes,Yes
7590-5363-00312,Male,0,Yes,No,41.39,1610.88,One year,Yes,No
7590-9327-00313,Female,0,Yes,No,109.67,813.74,Two year,No,No
7590-9577-00314,Female,0,No,Yes,101.86,2156.51,Two year,Yes,No
7590-4107-00315,Male,0,No,Yes,66.33,5357.38,One year,No,No
7590-4867-00316,Male,0,No,Yes,80.54,5280.98,Month-to-month,Yes,No
7590-5605-00317,Female,1,No,No,25.5,5366.4,Two year,No,No
7590-5867-00318,Female,0,No,Yes,104.05,6430.39,One year,No,No
7590-1432-00319,Male,0,No,Yes,105.18,798.87,Month-to-month,No,Yes
7590-8248-00320,Female,0,No,No,46.02,1885.05,Month-to-month,Yes,Yes
7590-7863-00321,Male,0,Yes,No,103.38,5807.47,One year,No,No
7590-4853-00322,Female,1,No,No,20.94,4262.72,Month-to-month,Yes,Yes
7590-4354-00323,Female,0,No,No,59.08,7583.94,Month-to-month,Yes,Yes
7590-4470-00324,Male,0,Yes,No,30.31,1296.61,Month-to-month,No,No
7590-2652-00325,Female,0,No,No,26.98,6297.99,Month-to-month,No,No
7590-2452-00326,Female,0,No,No,104.48,6974.12,Month-to-month,Yes,No
7590-5024-00327,Male,0,Yes,No,113.59,2713.48,Month-to-month,Yes,Yes
7590-3335-00328,Male,0,No,Yes,67.92,7190.4,Month-to-month,No,Yes
7590-8686-00329,Female,0,Yes,No,93.85,233.48,Month-to-month,No,Yes
7590-8467-00330,Female,1,No,No,98.88,6371.44,Two year,No,No
7590-8660-00331,Female,0,No,Yes,32.3,1994.09,One year,No,No
7590-8336-00332,Female,0,No,No,37.44,788.23,Month-to-month,No,No
7590-9320-00333,Male,0,No,No,19.32,4147.99,Month-to-month,Yes,No
7590-6111-00334,Female,0,No,No,51.93,5140.79,Two year,Yes,No
7590-6306-00335,Female,0,Yes,No,28.16,4183.18,Two year,No,No
7590-4454-00336,Female,0,No,Yes,30.7,5333.14,Month-to-month,No,No
7590-6410-00337,Male,0,Yes,No,91.41,6493.6,Two year,No,No
7590-1697-00338,Male,0,Yes,No,18.94,1927.45,Two year,Yes,No
7590-8301-00339,Male,0,Yes,No,62.98,5733.4,Month-to-month,Yes,No
7590-1907-00340,Male,1,Yes,No,77.9,142.32,Two year,No,Yes
7590-4917-00341,Male,0,Yes,Yes,113.38,1464.38,Month-to-month,No,Yes
7590-7326-00342,Female,0,Yes,No,19.61,2004.53,Month-to-month,No,Yes
7590-6599-00343,Male,0,Yes,No,116.62,6449.19,Month-to-month,No,Yes
7590-1466-00344,Female,0,Yes,No,107.72,7652.61,Two year,Yes,No
7590-8775-00345,Male,1,Yes,No,21.02,5612.09,Two year,No,No
7590-1821-00346,Male,0,Yes,No,119.83,5440.53,Two year,Yes,No
7590-8972-00347,Female,0,Yes,Yes,50.04,3348.02,Month-to-month,No,No
7590-9734-00348,Male,0,Yes,Yes,93.34,4202.92,Month-to-month,Yes,No
7590-3712-00349,Male,0,Yes,Yes,74.24,1716.38,Two year,Yes,No
7590-4825-00350,Female,1,No,No,43.55,3732.59,Two year,No,No
7590-9552-00351,Male,0,Yes,No,40.24,3622.21,Month-to-month,Yes,No
7590-3531-00352,Male,0,No,No,117.23,1171.4,Month-to-month,No,Yes
