account_id,account_age_months,plan_type,monthly_revenue,seats,support_tickets_30d,feature_adoption_score,cancelled
acct_151,35,Pro,82.96,13,5,0.8820840379709111,False
acct_152,21,Free,353.38,8,1,0.33646461410763184,True
acct_153,14,Pro,292.2,2,2,0.9983862627039132,False
acct_154,48,Pro,23.97,15,2,0.08246038148784329,False
acct_155,28,Pro,190.83,13,2,0.9843223833054364,False
acct_156,12,Free,282.57,14,4,0.28015163422905187,False
acct_157,32,Free,204.6,8,8,0.3638812711116234,True
acct_158,16,Free,129.42,9,0,0.8304698662654071,False
acct_159,36,Pro,224.6,3,1,0.6145364822118099,False
acct_160,46,Free,303.47,10,3,0.02932277364005642,False
acct_161,52,Pro,19.78,17,1,0.6837825286709065,False
acct_162,39,Free,209.03,10,1,0.9888446394628357,False
acct_163,1,Free,165.18,7,3,0.5008088530733364,True
acct_164,51,Free,60.76,3,1,0.5233685529557176,False
acct_165,27,Free,340.72,5,2,0.17223652119456134,True
acct_166,15,Pro,279.45,8,5,0.7165844812599009,False
acct_167,33,Pro,202.54,4,1,0.862968726616111,False
acct_168,15,Enterprise,394.94,15,2,0.1439224493976119,False
acct_169,20,Pro,60.93,8,6,0.12726954115434252,False
acct_170,49,Enterprise,190.54,17,2,0.0506579750576055,False
acct_171,15,Pro,69.17,13,2,0.6897901331946737,True
acct_172,55,Enterprise,328.36,4,3,0.9175579206066471,False
acct_173,11,Enterprise,312.43,6,1,0.21413442199772736,True
acct_174,42,Enterprise,257.77,5,3,0.5558272435893242,False
acct_175,43,Free,396.74,12,1,0.44725826479914266,False
acct_176,58,Free,346.99,6,2,0.43960017563111586,False
acct_177,12,Free,356.68,4,0,0.15808790554714147,True
acct_178,54,Free,7.84,4,1,0.8702408690953339,False
acct_179,21,Pro,175.74,2,0,0.007168506903912908,False
acct_180,34,Pro,121.35,16,2,0.6320831969385211,False
acct_181,41,Free,471.76,5,3,0.09056320787871208,False
acct_182,41,Free,329.64,16,2,0.32137507470350724,False
acct_183,18,Free,54.54,3,3,0.3129086739052882,True
acct_184,11,Free,118.75,14,3,0.3145327273992393,True
acct_185,59,Free,414.62,14,1,0.8822382910933293,False
acct_186,25,Free,380.63,19,2,0.6003656079426136,False
acct_187,22,Free,182.71,17,3,0.9150600788564384,False
acct_188,17,Pro,462.3,16,1,0.976338702733182,True
acct_189,38,Free,206.22,16,2,0.535421593605899,False
acct_190,55,Enterprise,107.07,2,2,0.6243644211352968,False
acct_191,58,Free,199.53,6,0,0.8679071226914398,False
acct_192,53,Free,425.18,14,2,0.08685804377867867,False
acct_193,52,Pro,280.9,15,1,0.7784044095090202,False
acct_194,9,Enterprise,265.17,1,0,0.4793156184772165,False
acct_195,40,Pro,282.01,6,4,0.6046714812496506,False
acct_196,23,Pro,150.64,7,2,0.15097364361228105,True
acct_197,9,Free,335.76,5,2,0.7571930965077383,False
acct_198,53,Pro,3.23,3,2,0.08866936136702641,False
acct_199,16,Free,485.31,12,1,0.9817695637880928,False
acct_200,59,Free,195.16,11,1,0.5046291828938031,False
acct_201,58,Pro,233.17,4,5,0.6997380286024112,False
acct_202,49,Free,442.47,18,1,0.6407332149414516,False
acct_203,16,Free,396.69,6,2,0.12005285720336178,True
acct_204,32,Free,121.3,16,2,0.2384602782292332,False
acct_205,5,Free,230.77,13,2,0.5877506379319264,True
acct_206,22,Pro,199.35,17,0,0.9905545755138712,False
acct_207,57,Free,159.36,19,2,0.9314746781384152,False
acct_208,5,Pro,157.8,14,2,0.029451605985133744,True
acct_209,35,Free,224.17,13,3,0.7745095159565217,False
acct_210,18,Pro,237.98,17,4,0.7449062659408598,True
acct_211,19,Free,445.68,10,3,0.44207186873298665,False
acct_212,56,Free,200.96,1,5,0.5482824086530348,False
acct_213,50,Free,349.05,3,6,0.3054746070360834,False
acct_214,6,Free,13.96,19,1,0.17990210699071119,False
acct_215,58,Free,167.96,13,3,0.1694060955979525,False
acct_216,13,Free,369.11,16,0,0.3470769972532497,False
acct_217,49,Pro,42.85,2,0,0.40324756480100377,False
acct_218,36,Enterprise,38.93,3,4,0.5126710094205769,False
acct_219,16,Free,362.16,17,5,0.6674716520306274,True
acct_220,42,Pro,238.56,6,1,0.34895044716062584,False
acct_221,21,Free,497.48,19,3,0.3452370820397255,False
acct_222,3,Free,118.24,6,3,0.08947703986888922,True
acct_223,43,Free,42.29,5,5,0.2969901466364997,False
acct_224,27,Pro,217.65,4,0,0.5572783678823308,False
acct_225,34,Free,171.51,11,1,0.5788833590139806,False
acct_226,51,Free,144.28,16,3,0.5645262858658504,False
acct_227,5,Free,60.83,13,3,0.19302341931336697,False
acct_228,25,Free,497.79,5,1,0.3356489144198461,False
acct_229,39,Free,224.35,1,3,0.027687301614421345,False
acct_230,15,Pro,494.37,11,3,0.7683043605416708,False
acct_231,31,Enterprise,237.27,15,5,0.5378589861905088,False
acct_232,41,Pro,297.53,11,0,0.07818844387777468,False
acct_233,17,Pro,264.82,16,3,0.659250255443553,False
acct_234,28,Free,455.62,1,2,0.03312080225009728,False
acct_235,27,Free,28.15,18,3,0.3908497786270356,False
acct_236,56,Free,491.57,4,4,0.7173796036696722,False
acct_237,5,Pro,150.25,15,0,0.8675222750696443,False
acct_238,18,Free,312.64,8,2,0.6683877337479018,False
acct_239,50,Free,464.28,3,2,0.56371306446079,False
acct_240,49,Pro,320.55,18,0,0.8245874836546171,False
acct_241,46,Free,389.68,6,5,0.43948574476572866,False
acct_242,48,Free,447.37,18,2,0.6457787036676731,False
acct_243,42,Free,407.75,4,1,0.28208462232441656,False
acct_244,10,Pro,28.33,5,3,0.4215232771096159,False
acct_245,12,Enterprise,299.37,8,0,0.2787164545487948,False
acct_246,47,Pro,247.42,2,1,0.18533609640473803,False
acct_247,51,Pro,170.26,16,2,0.5779856511853049,False
acct_248,59,Free,369.94,15,0,0.4780260760421534,False
acct_249,1,Pro,409.73,4,1,0.0893172401181066,True
acct_250,37,Pro,176.6,15,2,0.2787874666386646,False
acct_251,9,Pro,288.37,5,2,0.8448566493989448,False
acct_252,25,Pro,151.27,11,3,0.7635805130679514,False
acct_253,17,Free,155.58,15,1,0.9798814715357914,False
acct_254,4,Pro,486.52,11,2,0.1493577606822578,False
acct_255,57,Pro,165.74,18,3,0.026108626549628644,False
acct_256,22,Pro,412.92,8,3,0.4995244938179856,False
acct_257,2,Free,66.47,13,1,0.3001644867300991,True
acct_258,22,Pro,185.84,8,3,0.6973607292106607,False
acct_259,35,Pro,239.77,3,3,0.4760123555974619,False
acct_260,29,Pro,15.58,6,3,0.9134150305699059,False
acct_261,29,Pro,263.43,11,1,0.08149292353285476,False
acct_262,42,Free,171.83,14,2,0.6447599043575104,False
acct_263,41,Pro,148.35,19,1,0.25021389637709535,False
acct_264,26,Pro,257.81,11,1,0.8913510152356849,False
acct_265,26,Pro,217.36,2,1,0.7267137842184154,False
acct_266,23,Free,343.89,14,0,0.2819578557658686,False
acct_267,8,Pro,103.77,18,3,0.05314003054911165,False
acct_268,38,Free,370.7,15,3,0.5749318511517464,False
acct_269,41,Pro,443.45,12,1,0.9107153444786197,False
acct_270,18,Free,48.49,17,1,0.10048658007680789,True
acct_271,46,Pro,98.94,9,1,0.9507865402586297,False
acct_272,44,Pro,403.93,18,0,0.33787546857383577,False
acct_273,55,Free,416.3,13,2,0.7984006987238205,False
acct_274,58,Free,457.23,11,0,0.021093046137624194,False
acct_275,43,Free,418.17,2,3,0.5250022955840842,False
acct_276,44,Pro,284.02,12,3,0.3385380620815891,False
acct_277,9,Free,357.82,8,3,0.5666468247322096,True
acct_278,8,Pro,348.84,10,0,0.38455470649458057,False
acct_279,56,Pro,165.37,8,2,0.3566142053199889,False
acct_280,41,Pro,414.92,17,2,0.8956662222966577,False
acct_281,15,Pro,236.33,10,4,0.33631174579207945,True
acct_282,2,Free,230.94,10,2,0.6527061784647439,True
acct_283,58,Pro,76.24,6,1,0.7724234224505278,False
acct_284,23,Pro,165.38,7,2,0.8794945419924206,False
acct_285,18,Free,151.98,7,2,0.7546303479270056,False
acct_286,53,Enterprise,58.73,8,1,0.6552325369350649,False
acct_287,41,Pro,379.76,8,0,0.44603119971876193,False
acct_288,7,Free,73.77,9,2,0.30365363306378157,True
acct_289,10,Free,227.08,17,1,0.5084882649826162,True
acct_290,50,Free,175.77,6,0,0.7816302068733832,False
acct_291,47,Free,268.6,2,1,0.7038734231415696,False
acct_292,33,Free,383.96,19,0,0.9585889663693865,False
acct_293,57,Pro,210.86,19,3,0.3907190747601704,False
acct_294,35,Free,24.7,5,3,0.6853482554339793,False
acct_295,44,Pro,293.55,6,3,0.7160840413962609,False
acct_296,15,Enterprise,289.79,12,0,0.609953128737936,False
acct_297,26,Free,185.35,10,2,0.10823150269630522,False
acct_298,45,Enterprise,160.16,8,0,0.8290942134001842,False
acct_299,14,Pro,85.67,4,2,0.21286008798393607,False
acct_300,19,Free,125.47,16,0,0.16580464271499318,False
acct_301,59,Pro,165.93,17,3,0.8547982856476025,False
acct_302,56,Free,234.93,5,2,0.7274035830738592,False
acct_303,16,Free,369.55,16,2,0.7924945343571846,False
acct_304,38,Free,19.32,2,4,0.05642391176157335,True
acct_305,1,Free,14.63,7,2,0.6249341175632455,False
acct_306,1,Free,327.39,1,3,0.32446233694753024,True
acct_307,41,Pro,283.16,9,1,0.35300468011352026,True
acct_308,17,Free,312.57,19,1,0.9335317333020892,False
acct_309,5,Enterprise,428.88,10,3,0.6785991034611092,False
acct_310,12,Free,407.2,9,1,0.6705856602501012,False
acct_311,47,Free,126.6,18,1,0.8840911682497886,False
acct_312,36,Enterprise,416.01,14,2,0.4017896234577545,False
acct_313,21,Free,486.69,7,4,0.34792849003520376,True
acct_314,51,Pro,441.73,6,3,0.8501576161684825,False
acct_315,1,Enterprise,112.96,2,0,0.6686732820753337,True
acct_316,40,Free,495.56,10,1,0.620607473424825,False
acct_317,58,Free,186.16,19,3,0.2241157444722539,False
acct_318,49,Pro,4.87,2,2,0.06654223130983294,False
acct_319,3,Pro,231.35,3,3,0.6890881455935144,False
acct_320,6,Free,165.16,19,3,0.039993232478277796,True
acct_321,43,Free,498.33,14,5,0.4801495669486394,False
acct_322,41,Free,95.2,19,2,0.33220927136984846,False
acct_323,41,Free,457.12,6,1,0.9721497407023878,False
acct_324,19,Free,393.91,14,3,0.5668058406901203,False
acct_325,49,Pro,416.91,5,2,0.66058232290873,False
acct_326,39,Free,295.9,6,0,0.3967350414345704,True
acct_327,32,Free,218.11,1,3,0.5861715947726408,False
acct_328,42,Pro,210.18,18,1,0.018410543841478666,False
acct_329,31,Free,402.72,12,3,0.22130599920405492,True
acct_330,10,Free,359.75,16,0,0.4653945164646871,False
acct_331,40,Pro,300.66,18,2,0.0521717042629406,True
acct_332,58,Pro,391.09,11,1,0.22958521486903016,False
acct_333,31,Free,478.5,5,4,0.18815714810721895,True
acct_334,56,Free,338.77,3,3,0.3438427106880553,False
acct_335,11,Pro,434.36,11,1,0.3660684229297223,False
acct_336,4,Free,12.27,11,2,0.7712680671363138,False
acct_337,48,Free,234.33,15,4,0.11332913506696174,True
acct_338,43,Free,294.67,6,2,0.23917367248264465,False
acct_339,2,Free,38.23,13,3,0.7274815477703682,False
acct_340,40,Free,96.88,17,3,0.20304474732941125,False
acct_341,38,Pro,102.97,18,4,0.5059115990751986,False
acct_342,31,Pro,264.18,5,1,0.9405489450688506,False
acct_343,51,Free,10.38,11,1,0.38090618886137884,True
acct_344,1,Free,262.75,16,4,0.15425427047247198,True
acct_345,57,Pro,277.42,17,3,0.3069816436201872,False
acct_346,55,Free,355.01,4,0,0.753109033462617,False
acct_347,20,Pro,330.43,5,2,0.6575658093120064,False
acct_348,50,Pro,336.48,2,1,0.8949940053035104,False
acct_349,12,Pro,439.21,16,5,0.9871287667839062,False
acct_350,43,Pro,210.22,13,2,0.610004212177218,False
acct_351,29,Pro,235.47,4,3,0.5042115197591227,True
acct_352,54,Free,217.92,2,1,0.6163588074324174,False
acct_353,7,Pro,11.19,9,0,0.720590574381599,False
acct_354,57,Enterprise,482.15,9,1,0.8287148200797212,False
acct_355,2,Free,316.89,3,1,0.8449002432172905,False
acct_356,17,Enterprise,136.73,2,2,0.1909671466583831,False
acct_357,42,Free,405.31,14,0,0.12996073397155505,False
acct_358,28,Pro,101.28,2,1,0.8309811311102336,False
acct_359,44,Pro,255.15,19,0,0.9737329089406425,False
acct_360,6,Free,50.64,16,4,0.3025123340350224,False
acct_361,1,Free,423.08,19,4,0.1560715571789444,True
acct_362,29,Free,102.68,7,3,0.2381165117000631,True
acct_363,19,Pro,40.59,19,2,0.6533517188741156,False
acct_364,29,Pro,324.71,4,3,0.03339630133391891,False
acct_365,19,Free,7.49,11,1,0.747932653537336,False
acct_366,19,Free,124.65,9,2,0.3722099813654888,True
acct_367,5,Free,180.43,16,1,0.4522077077367167,False
acct_368,9,Pro,10.5,4,4,0.7362148256751289,False
acct_369,22,Pro,346.46,12,4,0.34070965559239896,True
acct_370,33,Pro,485.15,18,1,0.13532513771455146,False
acct_371,6,Free,154.59,19,2,0.6964657655835494,False
acct_372,56,Free,423.35,18,2,0.11253219515008872,False
acct_373,15,Free,23.79,13,2,0.9790268765921012,False
acct_374,32,Enterprise,193.62,5,2,0.1814932416062861,False
acct_375,36,Pro,426.37,17,0,0.5091318044267943,False
acct_376,15,Free,134.92,10,3,0.7712248999861132,False
acct_377,47,Free,418.61,3,2,0.7960098960607043,False
acct_378,46,Enterprise,389.94,17,1,0.8136864080111866,False
acct_379,16,Enterprise,10.23,16,5,0.9027754572238993,False
acct_380,37,Free,171.23,1,0,0.660052796460271,False
acct_381,7,Free,41.06,10,2,0.1286313819875412,False
acct_382,25,Pro,396.5,12,0,0.499231464737269,False
acct_383,47,Free,286.98,6,1,0.5545600090528052,False
acct_384,24,Pro,447.8,16,1,0.30679330366136015,False
acct_385,17,Free,103.49,17,2,0.6381334812290786,False
acct_386,37,Pro,480.62,10,0,0.8803319026855352,False
acct_387,52,Pro,330.91,16,5,0.7304483968721502,False
acct_388,41,Pro,163.12,15,4,0.6098824802791764,False
acct_389,47,Free,370.48,10,0,0.7126762477055938,False
acct_390,18,Pro,407.04,10,2,0.546924052491102,False
acct_391,49,Free,148.18,17,1,0.16755554014389107,False
acct_392,49,Pro,19.56,15,2,0.6153858775585929,False
acct_393,42,Pro,372.67,5,3,0.12154993546759318,False
acct_394,25,Pro,112.42,5,2,0.6967709612142085,False
acct_395,13,Free,368.75,19,0,0.7968700650664254,False
acct_396,35,Pro,230.39,16,3,0.9272631240411362,False
acct_397,34,Enterprise,115.1,13,2,0.8305553972131895,False
acct_398,42,Pro,201.34,15,1,0.24778114888853253,False
acct_399,28,Free,327.85,11,1,0.44756286875362117,False
acct_400,37,Pro,420.25,1,1,0.1176480365261684,False
acct_401,48,Free,15.78,19,3,0.11279549696574098,False
acct_402,22,Pro,395.9,8,4,0.19119075319055678,False
acct_403,28,Enterprise,427.29,4,2,0.9454737546547247,False
acct_404,57,Pro,436.22,5,1,0.4382399225870275,False
acct_405,52,Free,228.9,9,1,0.7797860839416796,False
acct_406,13,Enterprise,217.48,13,5,0.24565556897791863,True
acct_407,22,Free,490.49,8,0,0.5370873544896498,False
acct_408,58,Free,314.11,6,3,0.4856977704829799,False
acct_409,37,Pro,357.97,16,4,0.8219821405467139,False
acct_410,57,Free,371.36,10,0,0.5379469015246505,False
acct_411,45,Pro,304.53,15,1,0.5078408567960627,False
acct_412,27,Free,175.7,14,0,0.5480453540368287,False
acct_413,35,Free,476.11,17,4,0.7696320368095722,False
acct_414,37,Enterprise,319.81,4,3,0.7439869808835189,False
acct_415,40,Pro,177.44,4,1,0.1477252677299966,False
acct_416,59,Free,378.57,17,2,0.5945320738400043,False
acct_417,4,Pro,388.71,4,2,0.03854278919492804,True
acct_418,45,Pro,233.8,14,2,0.16393841086684757,False
acct_419,46,Pro,291.09,9,2,0.4939119462248829,False
acct_420,32,Pro,167.59,16,0,0.6358220457415561,False
acct_421,3,Free,155.15,11,5,0.6301928805311667,True
acct_422,33,Pro,342.2,16,1,0.8635051605676288,True
acct_423,1,Pro,332.14,16,2,0.11248797207993388,False
acct_424,38,Free,29.15,6,2,0.11078712403045998,True
acct_425,39,Pro,7.84,15,1,0.7406166492871902,False
acct_426,43,Free,29.07,2,6,0.8345748871818074,False
acct_427,12,Free,53.69,11,3,0.19151672878879467,True
acct_428,14,Free,497.94,8,2,0.3383593284163491,False
acct_429,17,Free,289.78,4,2,0.8638700721812088,False
acct_430,25,Free,386.97,13,2,0.33202894577224695,False
acct_431,25,Free,56.38,17,2,0.03943412321621731,True
acct_432,18,Free,95.42,16,4,0.6126850415841713,False
acct_433,26,Free,29.42,14,5,0.9076311892157083,False
acct_434,56,Free,366.34,16,2,0.6236949392407026,False
acct_435,55,Free,358.23,4,0,0.30543313046083764,False
acct_436,58,Pro,277.55,2,2,0.6603291179407749,False
acct_437,49,Free,358.24,10,1,0.3818860298428892,False
acct_438,16,Free,308.54,9,1,0.6915118045090065,True
acct_439,53,Free,60.62,7,2,0.28799522609746164,False
acct_440,21,Free,283.74,18,1,0.532832285152638,False
acct_441,29,Enterprise,448.57,6,1,0.6202732764717217,False
acct_442,22,Free,297.63,14,3,0.6261201540083695,True
acct_443,32,Pro,463.56,2,4,0.5097610005705995,False
acct_444,46,Pro,130.62,7,2,0.698492454028491,False
acct_445,5,Enterprise,475.81,16,2,0.16046366686605817,False
acct_446,30,Pro,365.02,13,1,0.09340097585237284,True
acct_447,30,Free,172.58,17,2,0.2635717906859705,False
acct_448,1,Free,194.09,19,2,0.3161064949446726,True
acct_449,47,Free,159.76,8,2,0.7695359101757797,False
acct_450,51,Free,461.83,11,3,0.6973412321915679,False
acct_451,22,Pro,146.48,7,1,0.4698700378098245,False
acct_452,25,Free,122.73,10,4,0.7977055385456362,False
acct_453,47,Free,281.44,11,2,0.19474256161568548,False
acct_454,12,Free,0.61,15,2,0.6279402079872876,True
acct_455,21,Free,134.77,1,0,0.5730037097744259,False
acct_456,28,Free,189.91,3,2,0.46957376432138764,False
acct_457,15,Free,111.4,15,3,0.8515751120548608,False
acct_458,32,Free,375.75,4,1,0.034138899587699445,False
acct_459,12,Pro,20.28,17,3,0.20054634551112582,True
acct_460,7,Free,404.61,12,0,0.4130322396227455,False
acct_461,15,Free,258.96,19,6,0.42877149994123187,False
acct_462,29,Free,455.48,3,3,0.0015470495420194519,False
acct_463,18,Free,456.41,19,3,0.6434755490570853,False
acct_464,13,Free,21.3,18,1,0.7597804872736877,False
acct_465,3,Free,441.57,4,1,0.41005308222436765,True
acct_466,56,Free,471.78,10,5,0.5207806571885737,False
acct_467,35,Free,432.79,9,1,0.09337346797383628,True
acct_468,22,Pro,293.1,13,1,0.7153477621729677,False
